index,name,title,kind,status,reason,returncode,seconds,outputs
1,random_teacher_missing_summary,Random split | Teacher grouped by missing-modality count,eval,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\teacher_missing_modality_summary.csv
2,random_student_vk_missing_summary,Random split | Student-VK grouped by missing-modality count,eval,skipped,outputs_exist,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_vk_missing_modality_summary.csv
3,random_baseline_missing_summary,Random split | Baseline grouped by missing-modality count,eval,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\baseline_missing_modality_summary.csv
4,random_student_nv_missing_summary,Random split | Student-NV grouped by missing non-visual modalities,eval,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_nv_missing_modality_summary.csv
5,random_student_vk_vk_noise,Random split | Student-VK VK noise and dropped-joint robustness,eval,skipped,outputs_exist,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_vk_noise_robustness.csv
6,random_teacher_complexity,Random split | Teacher complexity export,export,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\teacher_full_model_complexity.csv
7,random_student_vk_complexity,Random split | Student-VK complexity export,export,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_vk_model_complexity.csv
8,random_student_nv_complexity,Random split | Student-NV complexity export,export,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_nv_model_complexity.csv
9,random_baseline_complexity,Random split | Baseline complexity export,export,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\baseline_full_model_complexity.csv
10,random_teacher_xfi_report,Random split | Teacher vs official X-Fi report,report,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\teacher_all_combinations.xfi_compare_summary.csv
11,random_student_vk_xfi_report,Random split | Student-VK vs official X-Fi report,report,dry_run,,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\all_combinations.xfi_compare_summary.csv
12,random_student_nv_xfi_report,Random split | Student-NV vs official X-Fi report,report,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs\eval\student_nv_nonvisual_combinations.csv,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\student_nv_nonvisual_combinations.xfi_compare_summary.csv
13,random_baseline_xfi_report,Random split | Baseline vs official X-Fi report,report,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs\eval\baseline_full_all_combinations.csv,0,0.000,E:\Deskbook\Tea\HPE\outputs\eval\baseline_full_all_combinations.xfi_compare_summary.csv
